Pipe diameter in inches;Wallthickness in mm
0.125;1.7
0.125;2.4
0.25;2.2
0.25;3
0.375;2.3
0.375;3.2
0.5;2.8
0.5;3.7
0.5;4.8
0.5;7.5
0.75;2.9
0.75;3.9
0.75;5.6
0.75;7.8
1;3.4
1;4.5
1;6.4
1;9.1
1.25;3.6
1.25;4.9
1.25;6.4
1.25;9.7
1.5;3.7
1.5;5.1
1.5;7.1
1.5;10.2
2;3.9
2;5.5
2;8.7
2;11.1
2.5;8.62
2.5;11.4
2.5;14.9
2.5;20.4
3;3.2
3;4
3;4.8
3;5.5
3;6.4
3;7.1
3;7.6
3;11.1
3;15.2
3.5;3.2
3.5;4
3.5;4.8
3.5;5.7
3.5;6.4
3.5;7.1
3.5;8.1
4;3.2
4;4
4;4.8
4;5.6
4;6
4;6.4
4;7.1
4;7.9
4;8.6
4;11.1
4;13.5
4;17.1
5;4
5;4.8
5;5.6
5;6.6
5;7.1
5;7.9
5;8.7
5;9.5
5;12.7
5;15.9
5;19
6;4.8
6;5.6
6;6.4
6;7.1
6;7.9
6;8.7
6;9.5
6;11
6;14.3
6;18.3
6;21.9
8;4.8
8;5.2
8;5.2
8;6.4
8;7
8;7.9
8;8.2
8;8.7
8;9.5
8;10.3
8;11.1
8;12.7
8;15.1
8;18.3
8;20.6
8;22.2
8;23
10;4.8
10;5.2
10;5.6
10;6.4
10;7.1
10;7.8
10;8.7
10;9.3
10;11.1
10;12.7
10;15.1
10;18.3
10;21.4
10;25.4
10;28.6
12;5.2
12;5.6
12;6.4
12;7.1
12;7.9
12;8.4
12;8.7
12;9.5
12;10.3
12;11.1
12;12.7
12;14.3
12;17.5
12;21.4
12;25.4
12;28.6
12;33.3
14;5.3
14;5.6
14;6.4
14;7.1
14;7.9
14;8.7
14;9.5
14;11.1
14;11.9
14;12.7
14;15.1
14;19
14;23.8
14;27.8
14;31.8
14;35.7
14;50.8
14;54
14;55.9
14;63.5
16;5.6
16;6.4
16;7.1
16;7.9
16;8.7
16;9.5
16;11.1
16;11.9
16;12.7
16;16.7
16;21.4
16;26.2
16;31
16;36.5
16;40.5
18;6.4
18;7.1
18;7.9
18;8.7
18;9.5
18;10.3
18;11.1
18;11.9
18;12.7
18;14.3
18;19
18;23.8
18;29.4
18;34.9
18;39.7
18;45.2
20;6.4
20;7.1
20;7.9
20;8.7
20;9.5
20;10.3
20;11.1
20;11.9
20;12.7
20;15.1
20;20.6
20;26.2
20;32.5
20;38.1
20;44.4
20;50
22;6.4
22;7.1
22;7.9
22;8.7
22;9.5
22;10.3
22;11.1
22;11.9
22;12.7
22;15.9
22;22.2
22;28.6
22;34.9
22;41.3
22;47.6
22;54
24;6.4
24;7.1
24;7.9
24;8.7
24;9.5
24;10.3
24;11.1
24;11.9
24;12.7
24;14.3
24;17.5
24;24.6
24;31
24;38.9
24;46
24;52.4
24;59.5
26;6.4
26;7.1
26;7.9
26;8.7
26;9.5
26;10.3
26;11.1
26;11.9
26;12.7
26;14.3
28;6.4
28;7.1
28;7.9
28;8.7
28;9.5
28;10.3
28;11.9
28;12.7
28;15.9
30;6.4
30;7.1
30;7.9
30;8.7
30;9.5
30;10.3
30;11.1
30;11.9
30;12.7
30;15.9
32;6.4
32;6.4
32;7.9
32;8.7
32;9.5
32;10.3
32;11.1
32;11.9
32;12.7
32;15.9
32;17.5
