Pipediameter in inches;150 lbs. 1/16 RF. H;300 lbs. 1/16 RF. H;400 lbs. 1/4 RF. H;600 lbs. 1/4 RF. H;900 lbs. 1/4 RF. H;1500 lbs. 1/4 RF. H;2500 lbs. 1/4 RF. H
0,5;47,6;52,4;58,7;58,7;66,6;66,6;79,3
0,75;52,4;57,1;63,4;63,4;76,1;76,1;85,1
1;55,6;61,9;68,2;68,2;79,3;79,3;95,1
1,25;57,1;65,1;73;73;79,3;79,3;101,5
1,5;61,9;68,3;76,1;76,1;88,8;88,8;117,4
2;63,5;69,8;79,3;79,3;107,9;107,9;133,3
2,5;69,8;76,2;85,7;85,7;111,1;111,1;149,2
3;69,8;79,4;88,8;88,8;107,9;123,8;174,6
3,5;71,4;81;92;92;;;
4;76,2;85,7;95,2;107,9;120,6;130,1;196,8
5;88,9;98,4;107,9;120,6;133,3;161,9;234,9
6;88,9;98,4;109,5;123,8;145;177,8;279,3
8;101,6;111,1;123,8;139,7;168,2;219;323,8
10;101,6;117,5;130,1;158,7;190,5;260,3;425,4
12;114,3;130,2;142,8;161,9;206,3;288,8;469,8
14;127;142,9;155,5;171,4;219;304,7;
16;127;146;158,7;184,1;222,2;317,4;
18;139,7;158,8;171,4;190,5;234,9;333,3;
20;144,5;161,9;174,6;196,8;254;361,9;
22;149,2;165,1;177,8;203,1;;;
24;152,4;168,3;180,9;209,5;298,4;412,7;
26;127;184,2;200;228,5;292;;
28;128,6;196,9;212,7;241,3;304,7;;
30;130,2;209,6;225,4;254;317,4;;
32;133,4;222,3;238,1;266,7;336,5;;
34;134,9;231,8;247,6;276,2;355,6;;
36;136,5;241,3;257,1;288,9;368,2;;
42;142,9;276,2;295,2;330,1;;;
