Noemwijdte;DIN 2632 ND 10 h;DIN 2633 ND 16 h;DIN 2634 ND 25 h;DIN 2635 ND 40 h;DIN 2636 ND 64 h;DIN 2637 ND 100 h;Length in mm
10;;35;;35;;45;17.2
15;;35;;38;;45;21.3
20;;38;;40;;;26.9
25;;38;;40;;58;33.7
32;;40;;42;;60;42.4
40;;42;;45;;62;48.3
50;;45;;48;62;68;60.3
65;;45;;52;68;76;76.1
80;;50;;58;72;78;88.9
100;;52;;65;78;90;114.3
125;;55;;68;88;105;139.7
150;;55;;75;95;115;168.3
175;;60;75;82;105;127;193.7
200;62;62;80;88;110;130;219.1
250;68;70;88;105;125;157;273
300;68;78;92;115;140;170;323.9
350;68;82;100;125;150;189;355.6
400;72;85;110;135;160;;406.4
500;75;84;125;140;;;508
600;82;88;125;;;;609.6
700;85;104;129;;;;711.2
800;96;108;138;;;;812.8
900;99;118;148;;;;914.4
1000;105;137;160;;;;1016
